NOMBRE_CONVOCATORIA,AÑO_CONVOCATORIA,FECHA_NACIMIENTO_ASPIRANTE,GENERO_ASPIRANTE,DPTO_NACIMIENTO_ASPIRANTE,POSIBLES_INSTITUCIONES_DE_ESTUDIO,PROGRAMA_DOCTORAL,PROG_NAL_CYT,GRAN_AREA_CONOCIMIENTO_ESTUDIO,AREA_CONOCIMIENTO_ESTUDIO
Doctorados Exterior 2011,2011,10/06/1981 12:00:00 AM,MASCULINO,CESAR,Texas Christian University - CORNELL UNIVERSITY - University of California -Berkeley-,Neurociencias del Comportamiento,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA TEORICA MATEMATICA CRIOBIOLOGIA EVOLUTIVA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,CALDAS,MASSACHUSETTS INSTITUTE OF TECHNOLOGY - Columbia University In The City of New York - University Of Michigan - Ann Arbor,Generacion del Bicentenario Doctorados en el exterior 529,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2011,2011,10/11/1982 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad Autonoma de Barcelona - Universidad Autonoma de Madrid,Doctorado en Neurociencias con periodo formativo (Master Oficial en Neuroci,Ciencia Tecnologia e Innovacion en Salud,OTRAS BIOLOGIAS,BIOLOGIA TEORICA MATEMATICA CRIOBIOLOGIA EVOLUTIVA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Purdue University - Technische Universitat Munchen - UNIVERSITY OF DELAWARE,PhD in Electrical Engineering,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad De Essex - The Manchester University - University Of Leicester,PhD in Goverment,Ciencias Basicas,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Colorado State University - University of Texas At El Paso - Carnegie Mellon University,Ph.D. en Ciencias Atmosfericas,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2011,2011,09/11/1980 12:00:00 AM,MASCULINO,BOGOTA D C,Syracuse University,PhD in Geography,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,GEOGRAFIA ECONOMICA Y CULTURAL
Doctorados Exterior 2011,2011,06/11/1976 12:00:00 AM,FEMENINO,ANTIOQUIA,Facultad Latinoamericana De Ciencias Sociales - Facultad Latinoamericana de Ciencias Sociales,Doctorado en Ciencias Sociales,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,McGill University - Universite du montreal,The PhD program in Nursing,Ciencia Tecnologia e Innovacion en Salud,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2011,2011,12/10/1974 12:00:00 AM,FEMENINO,HUILA,Texas AM University,PhD in Architecture,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS CIENCIAS SOCIALES,ARQUITECTURA Y URBANISMO
Doctorados Exterior 2011,2011,11/12/1980 12:00:00 AM,MASCULINO,BOGOTA D C,The University of Georgia - Colorado State University - University of South Florida,Ecologia,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of Washington - Massachusetts Institute of Technology - Universidad de Groningen,environmental management PhD,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Harvard University - University of California Berkeley - Universidad de Utrecht,PhD in Public Policy,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de Twente,Governance of knowledge and innovation,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2011,2011,10/11/1982 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Universidade de Sao Paulo - UnB - Universidade de Brasilia - Universidade Federal Do Rio Grande Do Sul,Doctorado en ingenieria mecanica,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,North Carolina State University - Arizona State University - University of Northern Colorado,Programa Nacional Formacion Investigadores Generacion del Bicentenario FJC,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,EDUCACION GENERAL INCLUYE CAPACITACION PEDADOGIA
Doctorados Exterior 2011,2011,03/02/1980 12:00:00 AM,FEMENINO,NARINO,Universidad de Wisconsin - Universidad de Massachusetts Amherst - Universidad de Alberta,Doctorado en Biologia de Plantas,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,AGRONOMIA
Doctorados Exterior 2011,2011,08/07/1973 12:00:00 AM,MASCULINO,ANTIOQUIA,UNIVERSIDAD CARLOS III DE MADRID,Doctorado en robotica,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA DEL TRANSPORTE
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of Warwick - University of California -Berkeley- - The University of British Columbia,PhD en Economia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2011,2011,06/01/1984 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,3.	Universidad Autonoma de Mexico - UNIVERSIDAD POLITECNICA DE CATALUNA - UNIVERSIDAD DE LA FLORIDA,Doctorado en Ciencias de los materiales,Ciencias Basicas,OTRAS INGENIERIAS Y TECNOLOGIAS,COMPUESTOS LAMINADOS PLASTICOS REFORZADOS FIBRA SINTETICAS Y NATURALES ETC
Doctorados Exterior 2011,2011,05/06/1982 12:00:00 AM,MASCULINO,BOGOTA D C,Centro de Aquicultura de la Universidad Estadual Paulista,Aquicultura,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,OTRAS CIENCIAS AGRICOLAS,PESCA
Doctorados Exterior 2011,2011,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Purdue University - University Gottingen - Universidad Estadual de Campinas,Doctorado en Ciencias Biologicas,Ciencias Basicas,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,UNIVERSITY OF SOUTHAMPTON,Integrated PhD Biomedical Science,Ciencias Basicas,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,QUINDIO,London School of Economics - Universidad de Caifornia Berkeley  - Brown University,Derecho y Sociedad,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2012,2012,11/05/1982 12:00:00 AM,FEMENINO,BOGOTA D C,OREGON STATE UNIVERSITY,PhD in Fisheries Sciences,Ciencias del Mar y los Recursos Hidrobiologicos,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2012,2012,12/11/1984 12:00:00 AM,MASCULINO,BOGOTA D C,LONDON SCHOOL OF ECOMONIC  - School of Oriental and African Studies - The London School of Economics and Political science,Research Degree in Development Studies,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2012,2012,02/09/1981 12:00:00 AM,MASCULINO,MAGDALENA,Purdue University - Carnegie Mellon University - MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Chemical Engineering,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA QUIMICA PLANTAS Y PRODUCTOS
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,UNIVERSITY OF TEXAS/AUSTIN - TEXAS - UNIVERSITY OF ILLINOIS/URBANA-CHAMPAIGN - ILLINOIS - University of Colorado At Boulder,Doctorado en Ingenieria Electrica y de Computacion,Investigaciones en Energia y Mineria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,London School of Economics and Political Science LSD  - University Of Massachussets - Kings College London,Latin American Caribbean and Latino Studies (PhD),Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Georgia Tech - University of Florida - North Carolina State University,Doctor of Philosophy in Industrial Engineering,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA DE PRODUCCION
Doctorados Exterior 2012,2012,07/05/1986 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,UNIVERSITY OF ILLINOIS/URBANA-CHAMPAIGN - ILLINOIS - THE UNIVERSITY OF CENTRAL FLORIDA,THE GRADUATE PROGRAM IN ENTOMOLOGY,Ciencias Basicas,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Maryland University,Doctorado en Politicas Publicas en Seguridad Internacional,Ciencia Tecnologia e Innovacion en Seguridad y Defensa,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2012,2012,03/12/1987 12:00:00 AM,FEMENINO,QUINDIO,MIT SLOAN SCHOOL OF MANAGEMENT - UNIVERSITY COLLEGE OF LONDON - UNIVERSIDAD POLITECNICA DE MADRID,Doctorado en Innovacion,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2012,2012,10/04/1979 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Baruch College at the City University of New York - University Of Essex - Universidad de Valencia Espana,Doctorado en Contabilidad,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universitat De Valencia - Universidad Autonoma de Madrid - Universidad Complutense de Madrid,Doctorado en Economia Industrial,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2012,2012,10/09/1979 12:00:00 AM,FEMENINO,TOLIMA,UNIVERISITAT POMPEU FABRA - German Cancer Ressearch Center,Doctorado en Biomedicina,Ciencia Tecnologia e Innovacion en Salud,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2012,2012,10/10/1986 12:00:00 AM,FEMENINO,ANTIOQUIA,Universite de Rennes 1 UFR SVE - Universite de La Rochelle - Universidad de la Laguna - Tenerife,Doctorado en Biologia (Enfasis en Ecologia y Comportamiento de Cetaceos),Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ZOOLOGIA ORNITOLOGIA ENTOMOLOGIA CIENCIAS BIOLOGICAS DEL COMPORTAMIENTO
Doctorados Exterior 2012,2012,12/07/1981 12:00:00 AM,MASCULINO,CAQUETA,Universidad de Southampton,Biological Science,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,OTRAS BIOLOGIAS
Doctorados Exterior 2012,2012,04/02/1981 12:00:00 AM,FEMENINO,ANTIOQUIA,University of Leicester - University of Westminster,PhD in Mass Communication Research,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,MEDIOS Y COMUNICACION SOCIAL
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,MASSACHUSETTS INSTITUTE OF TECHNOLOGY - University of California -Berkeley- - Carnegie Mellon University,Doctorado en Ciencias de la Computacion,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,London School of Economics - Birbeck College University of London - OXFORD UNIVERSITY,Phd Social Policy,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2012,2012,06/06/1980 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Carnegie Mellon University - Duke University - University of Maryland,Ph D in Public Policy,No Aplica,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,UNIVERSIDAD DE PITTSBURGH - UNIVERSIDAD POLITECNICA DE CATALUNA - UNIVERSIDAD DE SAO PAULO,Doctorado en Geotecnia,No Aplica,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Harvard University - The University of British Columbia - Stanford University,Phd en Neurociencias,No Aplica,OTRAS HUMANIDADES,PSICOLOGIA INCLUYE TERAPIAS DE APRENDIZAJE HABLA VISUAL Y OTRAS DISCAPACIDADES FISICAS Y MENTALES
Doctorados Exterior 2012,2012,11/07/1983 12:00:00 AM,MASCULINO,CALDAS,Purdue University - Purdue University - Purdue University,Doctorado en Ingenieria Electrica,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,Karlsruher Institut fur Technologie,Regionalwissenschaft/Raumplanung,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA AMBIENTAL Y GEOLOGICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Katholieke Universiteit Leuven,Doctorado en Ingenieria Electrica y Electronica,No Aplica,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Ecole superieure de commerce de Paris,Ciencias sociales,No Aplica,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2012,2012,07/11/1985 12:00:00 AM,MASCULINO,ATLANTICO,RWTH Universidad de Aachen,Doctorado en Matematicas,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,MATEMATICAS PURAS
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad Autonoma De Guadalajara - Universidad Nacional de San Martin - Universidad Autonoma de Barcelona,DERECHO,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,Universidad de Rovira i Virgili,Doctorado en Ingenieria Informatica,Ciencia Tecnologia e Innovacion en Salud,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MEDICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,Universidad Autonoma de Madrid - Universidad Rey Juan Carlos - 2.	UNIVERSIDAD COMPLUTENSE DE MADRID,Doctorado en Economia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Institut National Des Sciences Appliquees De Lyon - Imperial College London - The University of Illinois at Urbana-Champaign,Doctorado en ingenieria civil y ambiental con enfasis en hidrologia urbana,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Griffith University - The Australian National University,Medio ambiente,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,CUNDINAMARCA,The University of Auckland,PhD-Statistics,Ciencias Basicas,CIENCIAS NATURALES,OTRAS CIENCIAS NATURALES
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Universidad Oberta de Catalunna - Universidad Nacional de Educacion a Distancia,Doctorado en Educacion y tic,No Aplica,CIENCIAS NATURALES,CIENCIAS SOCIALES INTERDISCIPLINARIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Universidad de Ginebra,Doctorado en Educacion,No Aplica,CIENCIAS NATURALES,CIENCIAS NATURALES
Doctorados Exterior 2012,2012,05/12/1988 12:00:00 AM,MASCULINO,BOGOTA D C,Purdue University - Tokyo University - Imperial College London,Doctorado en Ingenieria Civil,No Aplica,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2012,2012,02/09/1987 12:00:00 AM,MASCULINO,SANTANDER,MASSACHUSETTS INSTITUTE OF TECHNOLOGY - University of California Santa Cruz - University of Southern California,DOCTOR OF PHILOSOPHY IN COMPUTER SCIENCE,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Pennsylvania State University- University park - University of California Davis - Universidad De Kyoto,Posgrado en Entomologia,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA TEORICA MATEMATICA CRIOBIOLOGIA EVOLUTIVA
Doctorados Exterior 2012,2012,06/12/1974 12:00:00 AM,FEMENINO,ATLANTICO,University of California Santa Barbara - University of California Berkeley,Ph.D. in Education,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,LINGUISTICA,LINGUISTICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,RISARALDA,New Jersey Institute of Technology,Doctor of Philosophy in Mathematical Sciences,No Aplica,GEOCIENCIAS MULTIDISCIPLINARIO,ESTADISTICAS Y PROBABILIDADES INVESTIGACION EN METODOLOGIAS
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,SUCRE,Louisiana State University Health Sciences Center,PhD Program in MIcrobiology Immunology and Parasitology,Ciencias Basicas,OTRAS BIOLOGIAS,BIOLOGIA CELULAR Y MICROBIOLOGIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,CORNELL UNIVERSITY - CORNELL UNIVERSITY - Stanford University,Doctoral program in Civil and Environmental Engineering,Ciencias Basicas,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2012,2012,09/01/1985 12:00:00 AM,MASCULINO,SANTANDER,Massachussets Institute of Technology - Stanford University - California Institute of Technology,BECA COLCIENCIAS - FULBRIGHT DESTINO EEUU,No Aplica,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA AEROESPACIAL
Doctorados Exterior 2012,2012,12/11/1987 12:00:00 AM,MASCULINO,BOGOTA D C,Harvard University - University Of Oxford - University Of Cambridge,Ingenieria Electronica,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA ELECTRICA Y ELECTRONICA
Doctorados Exterior 2012,2012,07/09/1980 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad de Bremen,Dr.rer.nat in Biology/Chemistry,Ciencias del Mar y los Recursos Hidrobiologicos,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2012,2012,04/06/1982 12:00:00 AM,MASCULINO,BOGOTA D C,Technische Universitat Hamburg-Harburg - Chalmers University of Technology,Doctorado en Ingenieria Naval,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MARINA NAVES
Doctorados Exterior 2012,2012,01/08/1983 12:00:00 AM,MASCULINO,RISARALDA,Universidade de Sao Paulo,Doctorado en Ingenieria Mecanica,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA MECANICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Loughborough University,PhD on Information Science,No Aplica,OTRAS CIENCIAS SOCIALES,CIENCIAS DE LA INFORMACION ASPECTOS SOCIALES
Doctorados Exterior 2012,2012,04/12/1974 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Stirling University,Ingenieria,Ciencia Tecnologia e Innovacion en Ingenieria,OTRAS HUMANIDADES,PSICOLOGIA INCLUYE TERAPIAS DE APRENDIZAJE HABLA VISUAL Y OTRAS DISCAPACIDADES FISICAS Y MENTALES
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,CAUCA,The University of Queensland - The University of Sydney,Marine Ecology,Ciencias del Mar y los Recursos Hidrobiologicos,OTRAS BIOLOGIAS,ECOLOGIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,CAUCA,Stony Brook University - Cornell University - Lousiana State University,Doctorado,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS BIOLOGIAS,ZOOLOGIA ORNITOLOGIA ENTOMOLOGIA CIENCIAS BIOLOGICAS DEL COMPORTAMIENTO
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,QUINDIO,Universidad Complutence de Madrid,Doctorado en Quimica Organica,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,LA GUAJIRA,Universita degli Studi di Roma Tre,SISTEMI PUNITIVI E GARANZIE COSTITUZIONALI,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2012,2012,09/11/1984 12:00:00 AM,MASCULINO,RISARALDA,University of Maryland - College Park,PHD in Computer Science,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,MASSACHUSETTS INSTITUTE OF TECHNOLOGY  - Virginia Polytechnic Institute and State University - UNIVERSITY OF MASSACHUSETTS/AMHERST,Polymer chemistry,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,QUIMICA ORGANICA
Doctorados Exterior 2012,2012,04/06/1986 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,THE UNIVERSITY OF TEXAS AT AUSTIN. - University of California Davis - University of California Davis,Department of Geography and the Environment,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,OTRAS HUMANIDADES,GEOGRAFIA ECONOMICA Y CULTURAL
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,NORTE DE SANTANDER,University of California Berkeley - Stanford University - The University of Illinois at Urbana-Champaign,Structural Engineering (el nombre exacto depende de la universidad),Ciencias Basicas,OTRAS INGENIERIAS Y TECNOLOGIAS,INGENIERIA CIVIL
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Universidad Autonoma de Barcelona,Doctorado en Relaciones Internacionales e Integracion Europea,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS HUMANIDADES,CIENCIAS POLITICAS
Doctorados Exterior 2012,2012,11/06/1985 12:00:00 AM,MASCULINO,ANTIOQUIA,Rochester institute of technology - Rochester institute of technology - University of Pennsylvania - University of Pennsylvania - University of Wisconsin - Milwaukee - University of Wisconsin - Milwaukee,DOCTOR OF PHILOSOPHY IN ASTROPHYSICAL SCIENCES AND TECHNOLOGY,Ciencias Basicas,GEOCIENCIAS MULTIDISCIPLINARIO,FISICA ATOMICA MOLECULAR Y QUIMICA
Doctorados Exterior 2012,2012,05/01/1989 12:00:00 AM,FEMENINO,SANTANDER,Universidad Politecnica de Madrid - Universidad Autonoma Metropolitana de Mexico - Universidad De Navarra,Doctorado en Ingenieria Biomedica,Biotecnologia,OTRAS CIENCIAS MEDICAS,MEDICINA GENERAL E INTERNA
Doctorados Exterior 2012,2012,08/05/1985 12:00:00 AM,MASCULINO,BOGOTA D C,The University of Nottingham,Mphil Behavioural Economics,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ECONOMIA
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,META,Universite Paris 1 Pantheon-Sorbonne,Doctorat en Informatique,Ciencia Tecnologia e Innovacion en Tecnologias de la Informacion y las Comunicaciones,GEOCIENCIAS MULTIDISCIPLINARIO,CIENCIAS DE LA COMPUTACION
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Harvard University - Standford University - Massachusetts Institute Of Technology,Phd en Administracion,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,NEGOCIOS Y MANAGEMENT
Doctorados Exterior 2012,2012,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,UNIVERSIDAD CARLOS III DE MADRID,Doctorado en Derecho,No Aplica,OTRAS CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2012,2012,12/03/1978 12:00:00 AM,MASCULINO,BOGOTA D C,London School of Economics,PhD Regional and Urban Planning,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,OTRAS CIENCIAS SOCIALES,ESTUDIOS URBANOS PLANIFICACION Y DESARROLLO
